episode,steps,total_steps,reward,distance,success,actor_loss,critic_loss,buffer_size
7,7,79,9.986671262239357,0.0007539000057490525,1,nan,nan,79
4,11,121,9.967454905921914,0.0005140874853554262,1,nan,nan,121
5,35,362,9.906466538049193,0.0005233355901779281,1,-0.17041000749062127,1.0452172819059342,362
8,111,1048,9.50770553921502,0.0004995257542159648,1,-0.4441822618804872,0.4117029046220705,1048
3,176,1567,9.148069404767895,0.0009065029717504568,1,-0.5783903518973877,0.27689649763121976,1567
9,212,1821,7.783860392383424,0.0006983175625696365,1,-0.6505256859511508,0.3060349055579794,1821
2,354,2672,5.930086354134095,0.00019207078779006777,1,-0.7543231562464213,0.22965690210521353,2672
6,527,3538,3.1501537953041883,0.0002334902248494317,1,-0.8542645254860273,0.14943714418210263,3538
11,717,4300,1.863954242627841,0.0009185811634388478,1,-1.0312578500652152,0.12179633711923768,4300
10,789,4516,4.601986418371029,0.0007121162989079326,1,-1.0950293264646265,0.11167640260577556,4516
1,1000,4938,-14.059207977090288,0.004363994476226196,0,-1.259261946514987,0.11544052396803958,4938
12,1000,4939,-22.057365763545402,0.028079744617721773,0,-1.2670506996394257,0.10264231920421048,4939
16,8,5027,9.986449490212872,0.0008574624004540183,1,-2.073619619011879,0.03413820033892989,5027
18,16,5117,9.959124896215412,0.0006399146332645364,1,-2.085805870592594,0.06146780523704365,5117
21,20,5160,9.935949704226111,0.0003487669284462354,1,-2.06453532576561,0.0735437679104507,5160
22,34,5287,9.848814231658269,0.0005050583657437848,1,-2.167103276533239,0.0766444933217238,5287
14,39,5323,9.852195543845781,0.0009026804115634719,1,-2.1739160953423915,0.09571503456204365,5323
17,191,6389,8.30901512089917,0.0007858360495898101,1,-2.7305250511119503,0.0729733519402396,6389
13,250,6742,8.07977273828044,0.0005406431579527487,1,-2.9183643622398376,0.09143393385782837,6742
15,550,8243,5.778537505063559,0.0003194941791637219,1,-3.589641472859816,0.1282832909629426,8243
19,1000,10044,-8.102206001997086,0.004809783613975204,0,-4.353611489653587,0.152065755863674,10044
20,1000,10045,-14.820366202800905,0.009383349177916054,0,-4.328088556289673,0.13861488278303297,10045
23,1000,10046,-9.210126679519298,0.004539086090902993,0,-4.3367575807571415,0.1369296890841797,10046
24,1000,10047,-16.003078241908224,0.023099794134843966,0,-4.320007245659828,0.14680990010965617,10047
25,1,10048,9.99921662706037,0.0007833729396295836,1,-6.006396770477295,0.12300624698400497,10048
31,2,10065,9.997848057065143,0.0007493168804465873,1,-5.951232671737671,0.06296121701598167,10065
29,6,10104,9.990179638008117,0.0008635884525052248,1,-5.798409620920817,0.15090058806041876,10104
36,7,10119,9.980508375106757,0.0008732670630006832,1,-5.702517577580044,0.0806826688349247,10119
35,11,10151,9.979493398961448,0.0007832249540115743,1,-5.695412072268399,0.27021780847148463,10151
